Model,MAE,MSE,RMSE,R2,RMSLE,MAPE (%),MASE (%),TIME (s)
XGBoost Regressor w/ Imputer + Select Columns Transformer,0.48104689388240085,0.5163199795967839,0.718554089541479,0.9749233990430893,0.0,5.589658329026994,0.35431129488658747,1.1285336017608643
Extra Trees Regressor w/ Imputer + Select Columns Transformer,0.650407439976629,0.6866278296087099,0.8286300921452889,0.9666518965575306,0.0,6.172755995217614,0.47905246908906557,0.50569748878479
Mean Baseline Regression Pipeline,0.49723814056422466,0.6965833161706667,0.8346156697370752,0.9661683790224528,0.0,5.883697027140082,0.36623682990327877,0.5082499980926514
LightGBM Regressor w/ Imputer + Select Columns Transformer,0.6307559590298885,0.7238865110407885,0.8508152038138415,0.9648423189247174,0.0,6.364816338143668,0.4645783258210687,0.4427647590637207
Elastic Net Regressor w/ Imputer + Standard Scaler + Select Columns Transformer,0.5500552052243647,0.8951444777025771,0.9461207521783765,0.9565246712248872,0.0,7.033575042400042,0.40513882222425546,0.6455626487731934
Random Forest Regressor w/ Imputer + RF Regressor Select From Model,3.738111644110574,20.785198093962638,4.559078645292559,-0.009494381409925534,0.0,41.962145019242556,2.7532766428780455,0.12177324295043945
